FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb3,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:23:00,-12.4,130.768,1.5,0,DAR20120115_0335_0,33.647,1,1964.78,1,2244.56,1,,9,0.57,1,0.4,1,,9,0.4,1,5.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb4,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:23:00,-12.4,130.768,1.5,10,DAR20120115_0335_10,33.645,1,1965.36,1,2244.47,1,,9,0.42,1,0.2,1,,9,0.32,1,4.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb5,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:23:00,-12.4,130.768,1.5,20,DAR20120115_0335_20,33.657,1,1966.16,1,2256.37,1,,9,0.27,1,0.4,1,,9,0.49,1,5.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb6,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:18:00,-12.4,130.768,1.5,21,DAR20120115_0335_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.041,0,0,,,0,0,0.663,0.051,0.039,0.045,0,,0,0,0.022,0,0,0.663,0,0.051,0,0,0.265,0,0.011,0,0,0,0,0,0,0,0,0,0.014,0,0,0.004,0.104,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb7,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:16:00,-12.4,130.768,1.5,6,DAR20120115_0335_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.043,0,0,,,0,0,0.592,0.042,0.028,0.038,0,,0,0,0.019,0,0,0.592,0,0.042,0,0,0.217,0,0.014,0,0,0,0,0.007,0,0,0,0,0.015,0,0,0.006,0.116,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb8,NRS,Darwin,DAR20120115_0335,2012-01-15,2012-01-15 13:08:00,-12.4,130.768,1.5,WC,DAR20120115_0335_WC,,,,,,,,,,,,,,,,,,,,,,,0,6,90111.5,1,2504.5,1,0.018,0.121,0,0,,,0,0,2.468,0.054,0.13,0.147,0,,0,0,0.096,0,0,2.468,0,0.054,0,0,1.111,0,0.022,0,0,0,0,0,0,0.54,0,0,0.018,0,0,0.007,0.209,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cb9,NRS,Darwin,DAR20120115_0540,2012-01-15,2012-01-15 15:25:00,-12.4,130.768,1.75,0,DAR20120115_0540_0,33.639,1,1964.22,1,2244.14,1,,9,0.55,1,0.2,1,,9,0.31,1,5.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cba,NRS,Darwin,DAR20120115_0540,2012-01-15,2012-01-15 15:25:00,-12.4,130.768,1.75,10,DAR20120115_0540_10,33.633,1,1965.62,1,2245.8,1,,9,0.15,1,0.2,1,,9,0.3,1,5.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cbb,NRS,Darwin,DAR20120115_0540,2012-01-15,2012-01-15 15:25:00,-12.4,130.768,1.75,20,DAR20120115_0540_20,33.632,1,1966.87,1,2258.04,1,,9,0.38,1,0.2,1,,9,0.3,1,5.6,1,,,,,,,,,,,0.011,0.059,0,0,,,0,0,0.702,0.074,0.036,0.053,0,,0,0,0.02,0,0,0.702,0,0.074,0,0,0.216,0,0.016,0,0,0,0,0.01,0,0,0,0,0.019,0,0,0.006,0.144,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cbc,NRS,Darwin,DAR20120115_0540,2012-01-15,2012-01-15 15:20:00,-12.4,130.768,1.75,6,DAR20120115_0540_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.061,0,0,,,0,0,0.792,0.08,0.034,0.058,0,,0,0,0.03,0,0,0.792,0,0.08,0,0,0.27,0,0.018,0,0,0,0,0.009,0,0,0,0,0.024,0,0,0.009,0.147,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cbd,NRS,Darwin,DAR20120115_0540,2012-01-15,2012-01-15 15:10:00,-12.4,130.768,1.75,WC,DAR20120115_0540_WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.09,0,0,,,0,0,1.16,0.093,0.055,0.077,0,,0,0,0.043,0,0,1.16,0,0.093,0,0,0.428,0,0.025,0,0,0,0,0,0,0.257,0,0,0.026,0,0,0.011,0.188,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cbe,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 09:57:00,-12.4,130.768,6,0,DAR20120417_0,32.005,1,1889.47,1,2155.57,1,,9,0.12,1,0.2,1,,9,0.2,1,3.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cbf,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 09:57:00,-12.4,130.768,6,10,DAR20120417_10,32.701,1,1894.25,1,2180.5,1,,9,0.33,1,0.3,1,,9,0.23,1,3.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc0,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 10:36:00,-12.4,130.768,6,17,DAR20120417_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.028,0,0,,,0,0,0.519,0.052,0.006,0.047,0.032,,0,0,0.021,0.009,0,0.519,0,0.052,0,0,0.13,0,0.057,0,0,0,0,0.006,0.013,0,0,0,0.015,0,0,0,0.073,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc1,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 09:57:00,-12.4,130.768,6,20,DAR20120417_20,32.755,1,1897.9,1,2181.76,1,,9,1,2,0.3,1,,9,0.24,1,3.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc2,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 10:36:00,-12.4,130.768,6,6,DAR20120417_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0,0,,,0,0,0.216,0.015,0,0.007,0,,0,0,0.01,0,0,0.216,0,0.015,0,0,0.025,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc3,NRS,Darwin,DAR20120417,2012-04-17,2012-04-17 09:51:00,-12.4,130.768,6,WC,DAR20120417_WC,,,,,,,,,,,,,,,,,,,2.8,2.8,4.4,0,20402,4,62391,4,788,4,0,0.019,0,0,,,0,0,0.378,0.036,0.008,0.028,0,,0,0,0.013,0,0,0.378,0,0.036,0,0,0.136,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc4,NRS,Darwin,DAR20120729_1630,2012-07-29,2012-07-30 02:15:00,-12.4,130.768,,0,DAR20120729_1630_0,33.989,1,1972.18,1,2282.27,1,,9,0.12,1,0,1,,9,0.21,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc5,NRS,Darwin,DAR20120729_1630,2012-07-29,2012-07-30 02:15:00,-12.4,130.768,,10,DAR20120729_1630_10,33.986,1,1972.54,1,2288.06,1,,9,0.1,1,0,1,,9,0.21,1,8.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.76805 -12.4)
combined_bgc_data.fid--1accc36f_191f80e2cba_3cc6,NRS,Darwin,DAR20120729_1630,2012-07-29,2012-07-30 02:15:00,-12.4,130.768,,20,DAR20120729_1630_20,,9,1972.76,1,2276,1,,9,1.22,2,0,1,,9,0.2,1,7.8,1,,,,,,,,,,,0,0.037,0,0,,,0,0,0.472,0.069,0,0.036,0.03,,0,0,0.009,0,0,0.472,0,0.069,0,0,0.101,0,0.023,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0.082,0,,POINT (130.76805 -12.4)
